Dep Airport Code;Arr Airport Code;Dep Airport Name;Dep IATA Country Code;Dep IATA Country Name;Arr Airport Code;Arr Airport Name;Arr IATA Country Code;Arr IATA Country Name;Dep Region Code;Dep Region Name;Arr Region Code;Arr Region Name;Frequency;Seats Total
NIM;ALG;Niamey;NE;Niger;ALG;Algiers;DZ;Algeria;AF3;Africa : Central/Western Africa;AF1;Africa : North Africa;13;1906
AAE;IST;Annaba;DZ;Algeria;IST;Istanbul Airport;TR;Turkey;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1312
AAE;JED;Annaba;DZ;Algeria;JED;Jeddah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;6;888
ALG;BKO;Algiers;DZ;Algeria;BKO;Bamako;ML;Mali;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;18;2690
ALG;ELU;Algiers;DZ;Algeria;ELU;El Oued;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;36;2690
ALG;IST;Algiers;DZ;Algeria;IST;Istanbul Airport;TR;Turkey;AF1;Africa : North Africa;EU1;Europe : Western Europe;58;9448
ALG;NCE;Algiers;DZ;Algeria;NCE;Nice;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;18;1966
ALG;NKC;Algiers;DZ;Algeria;NKC;Nouakchott;MR;Mauritania;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;13;1814
AZR;MED;Adrar;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;1;302
BKO;ALG;Bamako;ML;Mali;ALG;Algiers;DZ;Algeria;AF3;Africa : Central/Western Africa;AF1;Africa : North Africa;18;2690
CDG;TLM;Paris Charles de Gaulle Apt;FR;France;TLM;Tlemcen;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;4;648
CZL;LYS;Constantine;DZ;Algeria;LYS;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;17;2500
ELU;ALG;El Oued;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;38;2978
GHA;TMR;Ghardaia;DZ;Algeria;TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;408
IST;AAE;Istanbul Airport;TR;Turkey;AAE;Annaba;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1312
IST;ALG;Istanbul Airport;TR;Turkey;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;58;9452
JED;AAE;Jeddah;SA;Saudi Arabia;AAE;Annaba;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;8;1184
LYS;CZL;Lyon St-exupery Apt;FR;France;CZL;Constantine;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;17;2500
MED;AZR;Madinah;SA;Saudi Arabia;AZR;Adrar;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;3;906
MED;TMR;Madinah;SA;Saudi Arabia;TMR;Tamanrasset;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;1;269
MRS;TLM;Marseille Provence Apt;FR;France;TLM;Tlemcen;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;5;810
NCE;ALG;Nice;FR;France;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;18;1966
NKC;ALG;Nouakchott;MR;Mauritania;ALG;Algiers;DZ;Algeria;AF3;Africa : Central/Western Africa;AF1;Africa : North Africa;13;1814
ORN;TLS;Oran Ahmed Ben Bella Apt;DZ;Algeria;TLS;Toulouse;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;27;3996
ORY;QSF;Paris Orly Apt;FR;France;QSF;Setif;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;16;2536
QSF;ORY;Setif;DZ;Algeria;ORY;Paris Orly Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;16;2536
TLM;CDG;Tlemcen;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;4;648
TLM;MRS;Tlemcen;DZ;Algeria;MRS;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;5;810
TLS;ORN;Toulouse;FR;France;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;27;3996
TMR;GHA;Tamanrasset;DZ;Algeria;GHA;Ghardaia;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;592
AAE;ALG;Annaba;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;164;13526
AAE;CDG;Annaba;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1924
AAE;MED;Annaba;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;3;444
ALG;AAE;Algiers;DZ;Algeria;AAE;Annaba;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;164;13540
ALG;BSK;Algiers;DZ;Algeria;BSK;Biskra;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;44;4000
ALG;CRL;Algiers;DZ;Algeria;CRL;Brussels S. Charleroi Airport;BE;Belgium;AF1;Africa : North Africa;EU1;Europe : Western Europe;8;816
ALG;DXB;Algiers;DZ;Algeria;DXB;Dubai International;AE;United Arab Emirates;AF1;Africa : North Africa;ME1;Middle East;18;4518
ALG;IAM;Algiers;DZ;Algeria;IAM;In Amenas;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;858
ALG;INZ;Algiers;DZ;Algeria;INZ;In Salah;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
ALG;MLH;Algiers;DZ;Algeria;MLH;Mulhouse;CH;Switzerland;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1324
ALG;OGX;Algiers;DZ;Algeria;OGX;Ouargla;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;52;4046
BMW;TMR;Bordj Mokhtar;DZ;Algeria;TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;330
BOD;ORN;Bordeaux Merignac Apt;FR;France;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;5;740
BSK;ALG;Biskra;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;43;3934
BSK;CDG;Biskra;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;4;592
CBH;ORN;Bechar;DZ;Algeria;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;13;858
CBH;TIN;Bechar;DZ;Algeria;TIN;Tindouf;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;810
CDG;AAE;Paris Charles de Gaulle Apt;FR;France;AAE;Annaba;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1924
CDG;BSK;Paris Charles de Gaulle Apt;FR;France;BSK;Biskra;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;4;592
CDG;CFK;Paris Charles de Gaulle Apt;FR;France;CFK;Chlef;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1346
CDG;ORN;Paris Charles de Gaulle Apt;FR;France;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;41;6068
CFK;CDG;Chlef;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1332
CRL;ALG;Brussels S. Charleroi Airport;BE;Belgium;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;8;816
CZL;MLH;Constantine;DZ;Algeria;MLH;Mulhouse;CH;Switzerland;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1740
CZL;OGX;Constantine;DZ;Algeria;OGX;Ouargla;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;8;856
DJG;TMR;Djanet;DZ;Algeria;TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;14;1770
DJG;VVZ;Djanet;DZ;Algeria;VVZ;Illizi;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
ALC;ORN;Alicante Airport;ES;Spain;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;31;4476
ALG;BCN;Algiers;DZ;Algeria;BCN;Barcelona Apt;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;48;6816
ALG;CZL;Algiers;DZ;Algeria;CZL;Constantine;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;157;13894
ALG;FCO;Algiers;DZ;Algeria;FCO;Rome Fiumicino Apt;IT;Italy;AF1;Africa : North Africa;EU1;Europe : Western Europe;17;1734
ALG;GHA;Algiers;DZ;Algeria;GHA;Ghardaia;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;41;3322
ALG;LIL;Algiers;DZ;Algeria;LIL;Lille Lesquin Airport;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;22;3166
ALG;MED;Algiers;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;14;3991
ALG;MPL;Algiers;DZ;Algeria;MPL;Montpellier Mediterranee Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1316
ALG;ORN;Algiers;DZ;Algeria;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;173;17365
AAE;MRS;Annaba;DZ;Algeria;MRS;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;27;3996
AAE;ORN;Annaba;DZ;Algeria;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;13;858
ABJ;ALG;Abidjan;CI;Cote D'Ivoire;ALG;Algiers;DZ;Algeria;AF3;Africa : Central/Western Africa;AF1;Africa : North Africa;13;1836
ALC;ALG;Alicante Airport;ES;Spain;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;31;3644
ALG;ABJ;Algiers;DZ;Algeria;ABJ;Abidjan;CI;Cote D'Ivoire;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;14;2026
ALG;ALC;Algiers;DZ;Algeria;ALC;Alicante Airport;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;31;3644
ALG;AZR;Algiers;DZ;Algeria;AZR;Adrar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;40;3858
ALG;BLJ;Algiers;DZ;Algeria;BLJ;Batna;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;27;2262
ALG;CBH;Algiers;DZ;Algeria;CBH;Bechar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;26;2280
ALG;CDG;Algiers;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;168;28671
ALG;CMN;Algiers;DZ;Algeria;CMN;Casablanca Mohammed V Apt;MA;Morocco;AF1;Africa : North Africa;AF1;Africa : North Africa;18;4926
ALG;FRA;Algiers;DZ;Algeria;FRA;Frankfurt International Apt;DE;Germany;AF1;Africa : North Africa;EU1;Europe : Western Europe;14;2026
ALG;JED;Algiers;DZ;Algeria;JED;Jeddah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;25;7214
ALG;LHR;Algiers;DZ;Algeria;LHR;London Heathrow Apt;GB;United Kingdom;AF1;Africa : North Africa;EU1;Europe : Western Europe;21;3229
ALG;MAD;Algiers;DZ;Algeria;MAD;Madrid Adolfo Suarez-Barajas Apt;ES;Spain;AF1;Africa : North Africa;EU1;Europe : Western Europe;22;3152
ALG;MRS;Algiers;DZ;Algeria;MRS;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;84;10598
ALG;TMR;Algiers;DZ;Algeria;TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;37;5503
ALG;VIE;Algiers;DZ;Algeria;VIE;Vienna International;AT;Austria;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1008
AZR;ALG;Adrar;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;36;3830
BJA;MRS;Bejaia;DZ;Algeria;MRS;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1386
BLJ;ALG;Batna;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;27;2262
BLJ;ORY;Batna;DZ;Algeria;ORY;Paris Orly Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;5;810
CBH;ALG;Bechar;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;27;2142
CDG;ALG;Paris Charles de Gaulle Apt;FR;France;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;168;28657
CMN;ALG;Casablanca Mohammed V Apt;MA;Morocco;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;18;4926
CZL;LIL;Constantine;DZ;Algeria;LIL;Lille Lesquin Airport;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;10;1230
CZL;ORY;Constantine;DZ;Algeria;ORY;Paris Orly Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1924
ELU;MED;El Oued;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;1;144
FRA;ALG;Frankfurt International Apt;DE;Germany;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;14;2026
JED;ALG;Jeddah;SA;Saudi Arabia;ALG;Algiers;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;24;6912
LHR;ALG;London Heathrow Apt;GB;United Kingdom;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;21;3229
LIL;CZL;Lille Lesquin Airport;FR;France;CZL;Constantine;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;10;1230
LIL;ORN;Lille Lesquin Airport;FR;France;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1694
CZL;HME;Constantine;DZ;Algeria;HME;Hassi Messaoud;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;330
ETZ;ALG;Metz/Nancy Lorraine;FR;France;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;18;2826
GHA;CZL;Ghardaia;DZ;Algeria;CZL;Constantine;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;330
GHA;MED;Ghardaia;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;1;302
HME;CZL;Hassi Messaoud;DZ;Algeria;CZL;Constantine;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;330
HME;ORN;Hassi Messaoud;DZ;Algeria;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;10;660
IST;ORN;Istanbul Airport;TR;Turkey;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1740
JED;TMR;Jeddah;SA;Saudi Arabia;TMR;Tamanrasset;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;2;604
LIS;ALG;Lisbon;PT;Portugal;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1084
LOO;ALG;Laghouat;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;17;1122
LYS;AAE;Lyon St-exupery Apt;FR;France;AAE;Annaba;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1924
LYS;BJA;Lyon St-exupery Apt;FR;France;BJA;Bejaia;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1332
LYS;BSK;Lyon St-exupery Apt;FR;France;BSK;Biskra;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;4;648
MED;ORN;Madinah;SA;Saudi Arabia;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;7;2081
MXP;ALG;Milan Malpensa Apt;IT;Italy;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;14;1468
ORN;HME;Oran Ahmed Ben Bella Apt;DZ;Algeria;HME;Hassi Messaoud;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;10;660
ORN;IST;Oran Ahmed Ben Bella Apt;DZ;Algeria;IST;Istanbul Airport;TR;Turkey;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1740
ORN;MED;Oran Ahmed Ben Bella Apt;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;9;2586
QSF;ALG;Setif;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;16;2536
TGR;ALG;Touggourt;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;18;1188
TIN;ALG;Tindouf;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;22;3010
TMR;JED;Tamanrasset;DZ;Algeria;JED;Jeddah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;1;302
YUL;ALG;Montreal Pierre Elliott Trudeau Int Apt;CA;Canada;ALG;Algiers;DZ;Algeria;NA1;North America;AF1;Africa : North Africa;14;3832
DXB;ALG;Dubai International;AE;United Arab Emirates;ALG;Algiers;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;18;4518
ELG;TMR;El Golea;DZ;Algeria;TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
ELU;JED;El Oued;DZ;Algeria;JED;Jeddah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;1;148
IAM;ALG;In Amenas;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;858
INZ;ALG;In Salah;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;10;660
JED;ELU;Jeddah;SA;Saudi Arabia;ELU;El Oued;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;1;148
LYS;QSF;Lyon St-exupery Apt;FR;France;QSF;Setif;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;21;3106
MED;AAE;Madinah;SA;Saudi Arabia;AAE;Annaba;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;3;444
MED;OGX;Madinah;SA;Saudi Arabia;OGX;Ouargla;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;3;807
MLH;ALG;Mulhouse;CH;Switzerland;ALG;Algiers;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;9;1324
MLH;CZL;Mulhouse;CH;Switzerland;CZL;Constantine;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1740
OGX;ALG;Ouargla;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;51;4138
OGX;CZL;Ouargla;DZ;Algeria;CZL;Constantine;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;8;856
OGX;MED;Ouargla;DZ;Algeria;MED;Madinah;SA;Saudi Arabia;AF1;Africa : North Africa;ME1;Middle East;1;302
ORN;BOD;Oran Ahmed Ben Bella Apt;DZ;Algeria;BOD;Bordeaux Merignac Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;5;740
ORN;CBH;Oran Ahmed Ben Bella Apt;DZ;Algeria;CBH;Bechar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;13;858
ORN;CDG;Oran Ahmed Ben Bella Apt;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;41;6068
QSF;LYS;Setif;DZ;Algeria;LYS;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;21;3106
